active,id,cartPlatform,cartSlug,cartName,addToCartType,addToCartUrl,canCollectSalesData,cartCategory,cartColor,cartFontColor,cartLink,cartLogo,redirectOnAddToCart,regional,createdAt
true,23f243e9-746c-5b83-6daa-0a799d712c21,king-soopers,king-soopers,King Soopers,PDP_REDIRECT,https://www.kingsoopers.com/basket/api/v2/user/add-item,false,Food & Beverage,#375398,#FFFFFF,https://www.kingsoopers.com/cart,,false,true,Thu Jan 16 2020 10:18:32 GMT-0500 (Eastern Standard Time)
true,24190b2c-ca12-4722-1876-49b9ff9800e0,mitsubishi,mitsubishi,Mitsubishi,PDP_REDIRECT,https://www.mitsubishicars.com/build/2020/OTEV/trims,false,,"rgba(255, 255, 255, 1)",#000000,https://www.mitsubishicars.com/build/2020/OTEV/trims,,false,,Wed Mar 04 2020 13:36:17 GMT-0500 (Eastern Standard Time)
true,2451b440-de4d-39a9-d130-d3519c1780b2,dillards,dillards,Dillard's,PDP_REDIRECT,https://www.dillards.com/webapp/wcs/stores/servlet/OrderItemAdd,,Big Box,#000000,,https://www.dillards.com/webapp/wcs/stores/servlet/OrderItemDisplay,,false,,Fri Jan 24 2020 15:56:32 GMT-0500 (Eastern Standard Time)
false,245e6808-415c-73de-437c-cdb63e811e44,gillette-on-demand,gillette-on-demand,Gillette On Demand,DIRECT_URL,https://ondemand.gillette.com/en-us/shop/all-products,false,Beauty & Personal Care,#081249,#FFFFFF,https://ondemand.gillette.com/en-us/review-order#cart,,false,,Wed Nov 28 2018 13:04:22 GMT-0500 (Eastern Standard Time)
true,274a7236-baf9-c5b3-beb7-6756766031c2,albertsons,albertsons,Albertson's,PDP_REDIRECT,https://www.albertsons.com,false,Food & Beverage,#01a3e4,#FFFFFF,https://www.albertsons.com,,false,true,Thu Jul 02 2020 13:07:59 GMT-0400 (Eastern Daylight Time)
true,2894982f-a435-31ac-af06-612b2984f6d8,lancome-uk,lancome-uk,Lancome UK,DIRECT_URL,https://www.lancome.co.uk/on/demandware.store/Sites-lancome-uk-Site/en_GB/Cart-AddProduct?pid=,,Beauty & Personal Care,,,https://www.lancome.co.uk/cart,,false,,Mon Oct 08 2018 16:55:54 GMT-0400 (Eastern Daylight Time)
true,29664589-3ac3-d509-1042-7f656d934de4,get-go,get-go,Get Go,CUSTOM_REDIRECT_ONLY,https://www.getgocafe.com/,false,Food & Beverage,#ad1a27,#FFFFFF,https://www.getgocafe.com/,,false,true,Fri Oct 30 2020 12:24:48 GMT-0400 (Eastern Daylight Time)
true,2a0dc4e5-64cb-7c79-20db-1b2a157e0b42,winn-dixie,winn-dixie,Winn Dixie,PDP_REDIRECT,https://www.winndixie.com/locator?search,false,Food & Beverage,#C80909,#FFFFFF,https://www.winndixie.com/locator?search,,false,,Fri Sep 18 2020 12:41:11 GMT-0400 (Eastern Daylight Time)
true,2b5ebf83-b1cd-adcc-9bc2-58f8c977a552,dillons,dillons,Dillon's,PDP_REDIRECT,https://www.dillons.com/basket/api/v2/user/add-item,false,Food & Beverage,#375398,#FFFFFF,https://www.dillons.com/cart,,false,true,Wed Jan 15 2020 16:32:07 GMT-0500 (Eastern Standard Time)
true,2bfe8b00-2be4-f22e-b36f-02c3273a5804,narsus,nars,NARS,PDP_REDIRECT,https://www.narscosmetics.com/on/demandware.store/Sites-nars_us-Site/default/Cart-AddProduct,false,Beauty & Personal Care,#000000,#FFFFFF,https://www.narscosmetics.com/USA/cart,,false,,Thu Dec 06 2018 12:14:07 GMT-0500 (Eastern Standard Time)
true,32c8e272-d4fb-7265-43e1-8521b52085a3,amazon-de,amazon-germany,Amazon Germany,DIRECT_URL,https://www.amazon.de/gp/aws/cart/add.html?Access+Key+ID=AKIAI6XNLHWSKFN3STGQ&Associate+Tag=mikmakattach-20&ASIN.1=${SKU}&Quantity.1=1&add=add,,Big Box,#f09b3a,,https://www.amazon.de/gp/cart/view.html/ref=nav_cart,,true,,Fri Mar 02 2018 17:06:30 GMT-0500 (EST)
true,34ee3278-ba79-0e0a-81ca-670bcebb9848,publix,publix,Publix,PDP_REDIRECT,https://www.publix.com,false,Food & Beverage,#3E8C2F,#FFFFFF,https://www.publix.com/shop-online/in-store-pickup/review-your-order,,false,,Mon May 18 2020 16:54:17 GMT-0400 (Eastern Daylight Time)
true,356c9379-cf47-1d9a-d14c-981d38164481,smiths-food-and-drug,smiths-food-and-drug,Smith's Food and Drug,PDP_REDIRECT,https://www.smithsfoodanddrug.com/basket/api/v2/user/add-item,false,Food & Beverage,#375398,#FFFFFF,https://www.smithsfoodanddrug.com/cart,,false,true,Thu Jan 16 2020 10:40:09 GMT-0500 (Eastern Standard Time)
true,360d1cee-6021-74f6-5d30-e26cf72c17c3,amazon-es,amazon-spain,Amazon Spain,DIRECT_URL,https://www.amazon.es/gp/aws/cart/add.html?Access+Key+ID=AKIAI6XNLHWSKFN3STGQ&Associate+Tag=mikmakattach-20&ASIN.1=${SKU}&Quantity.1=1&add=add,,Big Box,#f09b3a,,https://www.amazon.es/gp/cart/view.html/ref=nav_cart,,true,,Fri Mar 02 2018 17:17:19 GMT-0500 (EST)
true,3708bdcf-6565-47a8-8c85-0f43559671d1,amazon-fresh-grocery-list,amazon-fresh-grocery-list,Amazon Fresh Grocery List,DIRECT_FORM_SUBMISSION,https://www.amazon.com/afx/ingredients/landingencoded,false,,#4F9C2D,#FFFFFF,https://www.amazon.com/afx/ingredients/landingencoded,,false,,Mon Apr 08 2019 10:42:05 GMT-0400 (Eastern Daylight Time)
true,370a46f5-6b14-f679-3297-f35e324e1ca2,hannaford,hannaford,Hannaford,PDP_REDIRECT,https://www.hannaford.com/,false,Food & Beverage,#393939,#FFFFFF,https://www.hannaford.com/,,false,,Mon Oct 05 2020 15:33:08 GMT-0400 (Eastern Daylight Time)
true,394caebf-d447-0cae-87fc-a312a8d4b39d,ralphs,ralphs,Ralphs,PDP_REDIRECT,https://www.ralphs.com/basket/api/v2/user/add-item,false,Food & Beverage,#375398,#FFFFFF,https://www.ralphs.com/cart,,false,true,Thu Jan 16 2020 10:19:51 GMT-0500 (Eastern Standard Time)
true,3bff2293-43ab-016d-6072-8959eae498f0,petco,petco,Petco,DIRECT_URL,https://www.petco.com/shop/OrderItemAdd?,,,#EA242C,,https://www.petco.com/shop/OrderItemDisplay,,false,,Wed Nov 28 2018 12:54:25 GMT-0500 (Eastern Standard Time)
true,3c293933-08dc-0cdf-888a-18514f277c85,timberland,timberland,Timberland,DIRECT_URL,https://www.timberland.com/shop/OrderItemAdd?,,Apparel & Footwear,,,https://www.timberland.com/webapp/wcs/stores/servlet/OrderItemDisplay,,false,,Wed Dec 12 2018 16:02:45 GMT-0500 (Eastern Standard Time)
true,3c886f68-3985-beff-289e-3e9f7a893742,rxbar-uk,rxbar-uk,RXBAR UK,DIRECT_URL,https://www.rxbar.co.uk/cart,,Food & Beverage,#000000,,https://www.rxbar.co.uk/checkout,,false,,Wed Nov 27 2019 14:14:04 GMT-0500 (Eastern Standard Time)
true,3d1b8236-68c0-4e1d-818e-eb0d073fd7b9,target,target,Target,PDP_REDIRECT,https://carts.target.com/order-api/cart/v5/cartitems,true,Big Box,#b8241a,,https://www.target.com/co-cart,,false,,Thu Feb 22 2018 13:50:41 GMT-0500 (EST)
true,3ed6dac1-75fb-bb28-8249-932d15efb0d4,kiehls,kiehls,Kiehl's,DIRECT_URL,https://www.kiehls.com/on/demandware.store/Sites-kiehls_us-Site/en_US/Cart-AddProduct,false,Beauty & Personal Care,#000000,#FFFFFF,https://www.kiehls.com/cart,,false,,Thu May 02 2019 11:43:28 GMT-0400 (Eastern Daylight Time)
true,406338b3-f273-3d02-fce9-66baef88e002,puma,puma,Puma,PDP_REDIRECT,https://us.puma.com,false,,#000000,"rgba(255, 255, 255, 1)",https://us.puma.com,,false,,Thu Aug 20 2020 16:32:20 GMT-0400 (Eastern Daylight Time)
true,409b1117-fea9-1842-4853-429bbf6d0eaa,ysl-beauty,ysl-beauty,YSL Beauty,DIRECT_URL,https://www.yslbeautyus.com/on/demandware.store/Sites-ysl-us-Site/en_US/Cart-AddProduct,,Beauty & Personal Care,#060606,,https://www.yslbeautyus.com/cart,,false,,Thu May 16 2019 15:46:54 GMT-0400 (Eastern Daylight Time)
true,40ecefee-5d26-c81e-cd31-e07af1a1b8bc,carrefour-italy,carrefour-italy,Carrefour Italy,PDP_REDIRECT,https://www.carrefour.it/,false,,#34348e,#FFFFFF,https://www.carrefour.it/,,false,,Mon Oct 12 2020 10:07:11 GMT-0400 (Eastern Daylight Time)
true,424c840d-1095-1a6f-f48d-1790291dd691,kohls,kohls,Kohl's,PDP_REDIRECT,https://www.kohls.com/cnc/checkout/cartItems/addItemToCart,,Big Box,#000000,,https://www.kohls.com/checkout/shopping_cart.jsp,,false,,Fri Nov 22 2019 17:01:02 GMT-0500 (Eastern Standard Time)
true,46ca8471-1831-4748-82f0-78fe4ea22841,amazon,amazon,Amazon,DIRECT_URL,https://www.amazon.com/gp/aws/cart/add.html?Access+Key+ID=AKIAI6XNLHWSKFN3STGQ&Associate+Tag=mikmakattach-20&ASIN.1=${SKU}&Quantity.1=1&add=add,false,Big Box,#f09b3a,#FFFFFF,https://www.amazon.com/gp/cart/view.html,,true,,Thu Feb 22 2018 13:50:46 GMT-0500 (EST)
true,46f1a36e-5c95-0a28-9840-17c46b916746,tom-thumb,tom-thumb,Tom Thumb,PDP_REDIRECT,https://www.tomthumb.com,false,Food & Beverage,#023399,#FFFFFF,https://www.tomthumb.com,,false,true,Thu Jul 09 2020 16:56:17 GMT-0400 (Eastern Daylight Time)
true,4727679d-fb8a-82e4-8033-a50896b7e393,metro-market,metro-market,Metro Market,PDP_REDIRECT,https://www.metromarket.net,false,Food & Beverage,#cc2728,#FFFFFF,https://www.metromarket.net/cart,,false,true,Wed Jul 15 2020 09:19:36 GMT-0400 (Eastern Daylight Time)
true,47e08a7c-9a09-1e35-dfb7-6b0851cb688a,bed-bath-and-beyond,bed-bath-beyond,Bed Bath & Beyond,PDP_REDIRECT,https://www.bedbathandbeyond.com,,Big Box,#1c3cde,,https://www.bedbathandbeyond.com/store/cart,,false,,Thu Sep 19 2019 17:26:04 GMT-0400 (Eastern Daylight Time)
true,48911e72-ed93-4487-b892-3159901e8258,media-markt,media-markt,Media Markt,PDP_REDIRECT,https://www.mediamarkt.de,false,Electronics,#ee3338,#FFFFFF,https://www.mediamarkt.de,,false,,Wed Sep 30 2020 09:24:44 GMT-0400 (Eastern Daylight Time)
true,49237aa8-d9b9-5048-8347-8e81f24c1707,hy-vee,hy-vee,Hy-Vee,PDP_REDIRECT,https://www.hy-vee.com/,false,Food & Beverage,#E31E13,#FFFFFF,https://www.hy-vee.com/,,false,true,Wed May 06 2020 08:59:15 GMT-0400 (Eastern Daylight Time)
true,496006c4-a583-443e-b256-fc74f9015d3c,bh-photo,bh-photo,B&H Photo,FORM_SUBMISSION,https://www.bhphotovideo.com/bnh/controller/home?A=addToCart&Q=json&O=&q=undefined&sku=${SKU}&is=REG&addedTroughType=undefined,,Electronics,,,https://www.bhphotovideo.com/find/cart.jsp/BI/20964,,false,,Thu Feb 22 2018 13:50:55 GMT-0500 (EST)
true,496c9412-0a4d-cc14-c387-7b57569dd1f5,caskers,caskers,Caskers,PDP_REDIRECT,https://www.caskers.com/checkout,false,Food & Beverage,#000000,#FFFFFF,https://www.caskers.com/checkout,,false,true,Tue Jul 21 2020 15:10:23 GMT-0400 (Eastern Daylight Time)
true,4aad9849-e13f-3c26-04fb-00cfee6d8ff8,walmart-grocery,walmart-grocery,Walmart Grocery,PDP_REDIRECT,https://www.walmart.com/cart,false,Food & Beverage,,#FFFFFF,https://www.walmart.com/cart,,false,,Tue Feb 26 2019 10:05:45 GMT-0500 (Eastern Standard Time)
true,4b729b22-9610-3e2c-e0a9-896b2c2bcc96,ninja,ninja,Ninja,DIRECT_URL,https://www.ninjakitchen.com/cgi-bin/livew/site.w?location=b2c/retail-checkout.w&cartaction=update&src=F195&payplan=AG304&frames=no&target=main&sponsor=000007,,Electronics,#000000,,https://www.ninjakitchen.com/cgi-bin/livew/site.w?location=b2c/retail-shop-list.w&cartaction=&frames=no&target=main&sponsor=000007&lang=en-US,,false,,Fri Jan 24 2020 15:02:08 GMT-0500 (Eastern Standard Time)
true,4c619827-310c-4781-a31a-4de99f067aac,dicks,dicks-sporting-goods,Dick's Sporting Goods,FORM_SUBMISSION,https://m.dickssportinggoods.com/AjaxRESTOrderItemAdd,,Apparel & Footwear,"rgb(0,0,0)",,https://m.dickssportinggoods.com/OrderItemDisplay,,false,,Thu Feb 22 2018 13:52:58 GMT-0500 (EST)
true,4dd1e005-9639-234b-a42a-e6f64b7cfe25,nob-hill-foods,nob-hill-foods,Nob Hill Foods,PDP_REDIRECT,https://shop.raleys.com,false,Food & Beverage,#ee3227,#FFFFFF,https://shop.raleys.com/checkout/v2/cart,,false,,Wed Sep 23 2020 13:37:01 GMT-0400 (Eastern Daylight Time)
true,4f7406bf-d679-1177-6cea-b2bf891cac5b,minibar,minibar,MiniBar,PDP_REDIRECT,https://minibardelivery.com/api/v2/cart,false,Food & Beverage,#781113,#FFFFFF,https://minibardelivery.com/store/cart,,false,,Mon Aug 12 2019 14:26:31 GMT-0400 (Eastern Daylight Time)
true,5104dbd1-e7b0-4a91-82f3-cc8b97aca2ed,puma-sneakpeek,wegotsoccer-sneakpeek,WeGotSoccer Sneakpeek,PDP_REDIRECT,https://adrenaline.puma.sneakpeek.cc,false,Apparel & Footwear,#000000,"rgba(255, 255, 255, 1)",https://adrenaline.puma.sneakpeek.cc,,false,,Tue Aug 25 2020 14:23:27 GMT-0400 (Eastern Daylight Time)
true,519b5932-5f3d-38ff-269c-2e2aaba1e934,vons,vons,Vons,PDP_REDIRECT,https://www.vons.com,false,Food & Beverage,#ed1d24,#FFFFFF,https://www.vons.com,,false,true,Sun Jul 05 2020 13:45:24 GMT-0400 (Eastern Daylight Time)
true,52623eb9-60a1-4584-b7ae-0d831828413d,armani-beauty,armani-beauty,Armani Beauty,DIRECT_URL,https://www.giorgioarmanibeauty-usa.com/on/demandware.store/Sites-armani-us-Site/default/Cart-AddProduct,false,Beauty & Personal Care,#000000,,https://www.giorgioarmanibeauty-usa.com/cart,,false,,Mon Feb 17 2020 13:05:07 GMT-0500 (Eastern Standard Time)
true,57e24ffb-02f0-2f9e-b312-84dbaee9c699,burtsbees,burts-bees,Burt's Bees,DIRECT_URL,https://www.burtsbees.com/on/demandware.store/Sites-burtsbees-Site/default/Cart-AddProduct?,,Beauty & Personal Care,#ffc550,,https://www.burtsbees.com/cart,,false,,Mon Feb 25 2019 11:28:33 GMT-0500 (Eastern Standard Time)
true,58003bda-e5ce-c009-f17e-5128481ac08b,cvs,cvs,CVS,CUSTOM_REDIRECT_ONLY,https://www.cvs.com/checkout/fs/shoppingcart_items.jsp,false,Big Box,#b8241a,#FFFFFF,https://www.cvs.com/checkout/fs/shoppingcart_items.jsp,,false,,Tue Oct 30 2018 14:03:08 GMT-0400 (Eastern Daylight Time)
true,596956d7-6efb-fdfb-04f4-087e7ce24cd5,old-spice,old-spice,Old Spice,FORM_SUBMISSION,https://oldspice.com/remote/v1/cart/add,,Beauty & Personal Care,#b0000f,,https://oldspice.com/cart.php,,false,,Tue Jan 14 2020 14:07:57 GMT-0500 (Eastern Standard Time)
true,59c50fc0-9a44-74f9-9a73-7879dd3d35ae,meijer,meijer,Meijer,PDP_REDIRECT,https://www.meijer.com/checkout/add_item_to_order_thumbnail.cmd,false,Food & Beverage,#184c8c,#FFFFFF,https://www.meijer.com/shop/en/cart,,false,true,Mon Nov 11 2019 14:41:45 GMT-0500 (Eastern Standard Time)
true,5bf34829-3c72-486f-85dd-0603b5db79a0,bose,bose,Bose,PDP_REDIRECT,https://www.bose.com/en_us/my-cart.cart.html/addentry,false,Electronics,#000000,#FFFFFF,https://www.bose.com/en_us/my-cart.html,,true,,Thu Feb 22 2018 13:53:04 GMT-0500 (EST)
true,5d47d00d-133a-b2c9-f776-1e44b7f21b78,keurig,keurig,Keurig,PDP_REDIRECT,https://www.keurig.com,,Food & Beverage,#5b3327,,https://www.keurig.com/cart,,false,,Wed May 01 2019 10:26:37 GMT-0400 (Eastern Daylight Time)
true,5e7eeac6-cac6-ed41-f129-77a1ed4bbf47,hum-colgate,hum-by-colgate,Hum by Colgate,PDP_REDIRECT,https://hum.colgate.com/,false,Beauty & Personal Care,#ff544d,#FFFFFF,https://hum.colgate.com/,,false,,Mon Aug 17 2020 13:24:20 GMT-0400 (Eastern Daylight Time)
true,5eeb1199-46b8-937c-4dca-686c514ee6c0,ralph-lauren,ralph-lauren,Ralph Lauren,FORM_SUBMISSION,https://www.ralphlauren.com/on/demandware.store/Sites-RalphLauren_US-Site/default/Cart-AddProduct,,Apparel & Footwear,#051e39,,https://www.ralphlauren.com/cart,,false,,Wed Oct 16 2019 17:02:08 GMT-0400 (Eastern Daylight Time)
true,626ec4fb-4637-a145-2cf3-6b5af1d3c203,clarisonic,clarisonic,Clarisonic,PDP_REDIRECT,https://www.clarisonic.com/on/demandware.store/Sites-Clarisonic-US-Site/default/Cart-AddProduct,false,Beauty & Personal Care,#F68B1F,#FFFFFF,https://www.clarisonic.com/cart,,false,,Wed Jul 18 2018 11:23:55 GMT-0400 (Eastern Daylight Time)
true,62d574ee-8d35-0a83-51db-0e04141d84a5,flaviar,flaviar,Flaviar,PDP_REDIRECT,https://flaviar.com/bottles,false,,#000000,#b17e6e,https://flaviar.com/bottles,,false,,Mon Aug 03 2020 12:25:46 GMT-0400 (Eastern Daylight Time)
true,6381a5c0-f72d-b3c9-322c-f765cc2634e1,game-better-with-butterfinger,game-better-with-butterfinger,Game Better With Butterfinger,CUSTOM_REDIRECT_ONLY,https://gamewithbutterfinger.com/,false,Food & Beverage,#0061af,#FFFFFF,https://gamewithbutterfinger.com/,,false,,Mon Oct 26 2020 16:06:10 GMT-0400 (Eastern Daylight Time)
true,63ca17c9-1435-5259-a79b-b4859dff9092,clinique,clinique,Clinique,DIRECT_URL,https://m.clinique.com/checkout/viewcart.tmpl,,Beauty & Personal Care,#000000,,https://m.clinique.com/checkout/viewcart.tmpl,,false,,Mon Jun 17 2019 16:07:09 GMT-0400 (Eastern Daylight Time)
true,641c761c-183a-7e90-72c5-626315a2d9eb,smashbox,smashbox,Smashbox,DIRECT_URL,https://www.smashbox.com/checkout/viewcart.tmpl,,Beauty & Personal Care,#000000 ,,https://www.smashbox.com/checkout/viewcart.tmpl,,false,,Wed Jan 23 2019 16:42:49 GMT-0500 (Eastern Standard Time)
true,658679f1-52d6-7a62-0810-8fff88830d4d,sams-club,sams-club,Sam's Club,PDP_REDIRECT,https://www.samsclub.com/api/node/cartservice/v1/carts,,Big Box,#1866a2,,https://www.samsclub.com/sams/cart/cart.jsp,,false,,Mon Dec 02 2019 10:53:36 GMT-0500 (Eastern Standard Time)
true,66ef1340-55ae-d814-c1fa-571222dd0a3b,fred-meyer,fred-meyer,Fred Meyer,PDP_REDIRECT,https://www.fredmeyer.com/basket/api/v2/user/add-item,false,Food & Beverage,#375398,#FFFFFF,https://www.fredmeyer.com/cart,,false,true,Thu Jan 16 2020 10:05:27 GMT-0500 (Eastern Standard Time)
true,692766a6-807e-d821-a628-e641bf72b8f9,bose-germany,bose-germany,Bose Germany,PDP_REDIRECT,https://www.bose.de/,false,Electronics,#000000,#FFFFFF,https://www.bose.de/,,false,,Wed Sep 30 2020 09:17:01 GMT-0400 (Eastern Daylight Time)
